UF2727,UF0874,UF0887,UF5714,UF0915,UF0925,UF0870,UF0875,UF0881,UF0892,UF1124,UF0906,UF1020,UF1214,UF1019,UF1012,UF1123,UF1121,UF1218,UF0977,UF0978,UF0981,UF1217,UF0985,UF0871,UF0872,UF0997
UF2727,1,0.514,0.514,0,0.31999999999999995,0.31999999999999995,0.514,0.514,0.41700000000000004,0.41700000000000004,0.31999999999999995,0.514,0.31999999999999995,0.31999999999999995,0.31999999999999995,0.31999999999999995,0.514,0.126,0.514,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.514,0.22299999999999998,0.514,0.514,0.31999999999999995
UF0874,0.514,1,0.882,0,0.75,0.5880000000000001,0.75,0.694,0.746,0.749,0.22299999999999998,0.41700000000000004,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.41700000000000004,0.028000000000000025,0.41700000000000004,0.126,0.126,0.126,0.41700000000000004,0.126,0.75,0.75,0.5880000000000001
UF0887,0.514,0.882,1,0,0.75,0.5880000000000001,0.75,0.694,0.746,0.749,0.22299999999999998,0.41700000000000004,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.41700000000000004,0.028000000000000025,0.41700000000000004,0.126,0.126,0.126,0.41700000000000004,0.126,0.75,0.75,0.5880000000000001
UF5714,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UF0915,0.31999999999999995,0.75,0.75,0,1,0.5880000000000001,0.878,0.5409999999999999,0.46399999999999997,0.46399999999999997,0.028000000000000025,0.22299999999999998,0.028000000000000025,0.028000000000000025,0.028000000000000025,0.028000000000000025,0.22299999999999998,0,0.22299999999999998,0,0,0,0.22299999999999998,0,0.878,0.878,0.5880000000000001
UF0925,0.31999999999999995,0.5880000000000001,0.5880000000000001,0,0.5880000000000001,1,0.5880000000000001,0.5409999999999999,0.46399999999999997,0.46399999999999997,0.028000000000000025,0.22299999999999998,0.028000000000000025,0.028000000000000025,0.028000000000000025,0.028000000000000025,0.22299999999999998,0,0.22299999999999998,0,0,0,0.22299999999999998,0,0.5880000000000001,0.5880000000000001,0.764
UF0870,0.514,0.75,0.75,0,0.878,0.5880000000000001,1,0.694,0.879,0.879,0.22299999999999998,0.41700000000000004,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.41700000000000004,0.028000000000000025,0.41700000000000004,0.126,0.126,0.126,0.41700000000000004,0.126,0.878,0.878,0.5880000000000001
UF0875,0.514,0.694,0.694,0,0.5409999999999999,0.5409999999999999,0.694,1,0.617,0.617,0.22299999999999998,0.41700000000000004,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.41700000000000004,0.028000000000000025,0.41700000000000004,0.126,0.126,0.126,0.41700000000000004,0.126,0.694,0.694,0.5409999999999999
UF0881,0.41700000000000004,0.746,0.746,0,0.46399999999999997,0.46399999999999997,0.879,0.617,1,0.5409999999999999,0.126,0.31999999999999995,0.126,0.126,0.126,0.126,0.31999999999999995,0,0.31999999999999995,0.028000000000000025,0.028000000000000025,0.028000000000000025,0.31999999999999995,0.028000000000000025,0.879,0.879,0.46399999999999997
UF0892,0.41700000000000004,0.749,0.749,0,0.46399999999999997,0.46399999999999997,0.879,0.617,0.5409999999999999,1,0.126,0.31999999999999995,0.126,0.126,0.126,0.126,0.31999999999999995,0,0.31999999999999995,0.028000000000000025,0.028000000000000025,0.028000000000000025,0.31999999999999995,0.028000000000000025,0.879,0.879,0.46399999999999997
