FM0026,FM0024,FM0205,FM0209,FM0019,FM0020,FM0036,FM0027,FM0025,FM0208,FM0210,FM0021,FM0022,FM0207,FM0028
FM0026,1,0.53,0.040000000000000036,0.10999999999999999,0.18999999999999995,0.040000000000000036,0.18999999999999995,0.27,0.27,0.18999999999999995,0.040000000000000036,0.040000000000000036,0.18999999999999995,0.18999999999999995,0.040000000000000036
FM0024,0.53,1,0.040000000000000036,0.10999999999999999,0.18999999999999995,0.040000000000000036,0.18999999999999995,0.27,0.27,0.18999999999999995,0.040000000000000036,0.040000000000000036,0.18999999999999995,0.18999999999999995,0.040000000000000036
FM0205,0.040000000000000036,0.040000000000000036,1,0.26,0.35,0.48,0.35,0.040000000000000036,0.040000000000000036,0.35,0.10999999999999999,0.48,0.35,0.35,0.10999999999999999
FM0209,0.10999999999999999,0.10999999999999999,0.26,1,0.10999999999999999,0.26,0.10999999999999999,0.10999999999999999,0.10999999999999999,0.10999999999999999,0.63,0.26,0.10999999999999999,0.10999999999999999,0.26
FM0019,0.18999999999999995,0.18999999999999995,0.35,0.10999999999999999,1,0.35,0.21999999999999997,0.18999999999999995,0.18999999999999995,0.21999999999999997,0.040000000000000036,0.35,0.53,0.21999999999999997,0.040000000000000036
FM0020,0.040000000000000036,0.040000000000000036,0.48,0.26,0.35,1,0.35,0.040000000000000036,0.040000000000000036,0.35,0.10999999999999999,0.48,0.35,0.35,0.10999999999999999
FM0036,0.18999999999999995,0.18999999999999995,0.35,0.10999999999999999,0.21999999999999997,0.35,1,0.18999999999999995,0.18999999999999995,0.51,0.040000000000000036,0.35,0.21999999999999997,0.51,0.040000000000000036
FM0027,0.27,0.27,0.040000000000000036,0.10999999999999999,0.18999999999999995,0.040000000000000036,0.18999999999999995,1,0.53,0.18999999999999995,0.040000000000000036,0.040000000000000036,0.18999999999999995,0.18999999999999995,0.040000000000000036
FM0025,0.27,0.27,0.040000000000000036,0.10999999999999999,0.18999999999999995,0.040000000000000036,0.18999999999999995,0.53,1,0.18999999999999995,0.040000000000000036,0.040000000000000036,0.18999999999999995,0.18999999999999995,0.040000000000000036
FM0208,0.18999999999999995,0.18999999999999995,0.35,0.10999999999999999,0.21999999999999997,0.35,0.51,0.18999999999999995,0.18999999999999995,1,0.040000000000000036,0.35,0.21999999999999997,0.51,0.040000000000000036
FM0210,0.040000000000000036,0.040000000000000036,0.10999999999999999,0.63,0.040000000000000036,0.10999999999999999,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.040000000000000036,1,0.10999999999999999,0.040000000000000036,0.040000000000000036,0.10999999999999999
FM0021,0.040000000000000036,0.040000000000000036,0.48,0.26,0.35,0.48,0.35,0.040000000000000036,0.040000000000000036,0.35,0.10999999999999999,1,0.35,0.35,0.10999999999999999
FM0022,0.18999999999999995,0.18999999999999995,0.35,0.10999999999999999,0.53,0.35,0.21999999999999997,0.18999999999999995,0.18999999999999995,0.21999999999999997,0.040000000000000036,0.35,1,0.21999999999999997,0.040000000000000036
FM0207,0.18999999999999995,0.18999999999999995,0.35,0.10999999999999999,0.21999999999999997,0.35,0.51,0.18999999999999995,0.18999999999999995,0.51,0.040000000000000036,0.35,0.21999999999999997,1,0.040000000000000036
FM0028,0.040000000000000036,0.040000000000000036,0.10999999999999999,0.26,0.040000000000000036,0.10999999999999999,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.10999999999999999,0.10999999999999999,0.040000000000000036,0.040000000000000036,1
