EP0003,EP0002,EP0006,EP0007,EP0011,EP0028,EP0032,EP0033,EP0020,EP0029,EP0017,EP0009,EP0038,EP0012,EP0030,EP0031,EP0024
EP0003,1,0.863,0.794,0.794,0.794,0.589,0.42500000000000004,0.42500000000000004,0.507,0.589,0.507,0.794,0.589,0.794,0.589,0.589,0.507
EP0002,0.863,1,0.794,0.794,0.794,0.589,0.42500000000000004,0.42500000000000004,0.507,0.589,0.507,0.794,0.589,0.794,0.589,0.589,0.507
EP0006,0.794,0.794,1,0.876,0.726,0.507,0.34299999999999997,0.34299999999999997,0.42500000000000004,0.507,0.42500000000000004,0.876,0.507,0.726,0.507,0.507,0.42500000000000004
EP0007,0.794,0.794,0.876,1,0.726,0.507,0.34299999999999997,0.34299999999999997,0.42500000000000004,0.507,0.42500000000000004,0.876,0.507,0.726,0.507,0.507,0.42500000000000004
EP0011,0.794,0.794,0.726,0.726,1,0.507,0.34299999999999997,0.34299999999999997,0.42500000000000004,0.507,0.42500000000000004,0.726,0.507,0.878,0.507,0.507,0.42500000000000004
EP0028,0.589,0.589,0.507,0.507,0.507,1,0.745,0.745,0.636,0.872,0.636,0.507,0.708,0.507,0.872,0.872,0.636
EP0032,0.42500000000000004,0.42500000000000004,0.34299999999999997,0.34299999999999997,0.34299999999999997,0.745,1,0.882,0.49,0.745,0.49,0.34299999999999997,0.563,0.34299999999999997,0.745,0.745,0.49
EP0033,0.42500000000000004,0.42500000000000004,0.34299999999999997,0.34299999999999997,0.34299999999999997,0.745,0.882,1,0.49,0.745,0.49,0.34299999999999997,0.563,0.34299999999999997,0.745,0.745,0.49
EP0020,0.507,0.507,0.42500000000000004,0.42500000000000004,0.42500000000000004,0.636,0.49,0.49,1,0.636,0.745,0.42500000000000004,0.636,0.42500000000000004,0.636,0.636,0.745
EP0029,0.589,0.589,0.507,0.507,0.507,0.872,0.745,0.745,0.636,1,0.636,0.507,0.708,0.507,0.872,0.872,0.636
EP0017,0.507,0.507,0.42500000000000004,0.42500000000000004,0.42500000000000004,0.636,0.49,0.49,0.745,0.636,1,0.42500000000000004,0.636,0.42500000000000004,0.636,0.636,0.745
EP0009,0.794,0.794,0.876,0.876,0.726,0.507,0.34299999999999997,0.34299999999999997,0.42500000000000004,0.507,0.42500000000000004,1,0.507,0.726,0.507,0.507,0.42500000000000004
EP0038,0.589,0.589,0.507,0.507,0.507,0.708,0.563,0.563,0.636,0.708,0.636,0.507,1,0.507,0.708,0.708,0.636
EP0012,0.794,0.794,0.726,0.726,0.878,0.507,0.34299999999999997,0.34299999999999997,0.42500000000000004,0.507,0.42500000000000004,0.726,0.507,1,0.507,0.507,0.42500000000000004
EP0030,0.589,0.589,0.507,0.507,0.507,0.872,0.745,0.745,0.636,0.872,0.636,0.507,0.708,0.507,1,0.872,0.636
EP0031,0.589,0.589,0.507,0.507,0.507,0.872,0.745,0.745,0.636,0.872,0.636,0.507,0.708,0.507,0.872,1,0.636
EP0024,0.507,0.507,0.42500000000000004,0.42500000000000004,0.42500000000000004,0.636,0.49,0.49,0.745,0.636,0.745,0.42500000000000004,0.636,0.42500000000000004,0.636,0.636,1
