UF0874,UF0887,UF2727,UF5714,UF0892,UF0870,UF0871,UF0872,UF0915,UF0997,UF0925,UF0944,UF0945,UF1019,UF1218,UF1012,UF5721,UF1124,UF5715,UF1020,UF0906,UF1214,UF2736,UF1123,UF1121,UF1009,UF1010,UF0988,UF0976,UF0977,UF0978,UF0981,UF1217,UF0985,UF1016,UF2734,UF0963,UF0962,UF0961,UF0935,UF0937,UF0938,UF0939,UF0875,UF0881,UF0876,UF1273,UF0914,UF0877,UF0949,UF1032,UF1034,UF1036,UF1240,UF2724,UF1041,UF1040,UF1216,UF1458,UF1001,UF1002,UF1003
UF0874,1,0.882,0.514,0,0.749,0.746,0.746,0.746,0.75,0.5880000000000001,0.5880000000000001,0.5409999999999999,0.5409999999999999,0.22299999999999998,0.41700000000000004,0.22299999999999998,0.31999999999999995,0.22299999999999998,0.31999999999999995,0.22299999999999998,0.41700000000000004,0.22299999999999998,0.41700000000000004,0.41700000000000004,0.029000000000000026,0.029000000000000026,0.029000000000000026,0.126,0.126,0.126,0.126,0.126,0.41700000000000004,0.126,0.22299999999999998,0.22299999999999998,0.126,0.126,0.126,0.5880000000000001,0.5880000000000001,0.5880000000000001,0.5880000000000001,0.694,0.746,0.694,0,0.75,0.694,0.5409999999999999,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.41700000000000004,0.41700000000000004,0.22299999999999998,0.22299999999999998,0.22299999999999998,0,0.126,0.126,0.126
UF0887,0.882,1,0.514,0,0.749,0.746,0.746,0.746,0.75,0.5880000000000001,0.5880000000000001,0.5409999999999999,0.5409999999999999,0.22299999999999998,0.41700000000000004,0.22299999999999998,0.31999999999999995,0.22299999999999998,0.31999999999999995,0.22299999999999998,0.41700000000000004,0.22299999999999998,0.41700000000000004,0.41700000000000004,0.029000000000000026,0.029000000000000026,0.029000000000000026,0.126,0.126,0.126,0.126,0.126,0.41700000000000004,0.126,0.22299999999999998,0.22299999999999998,0.126,0.126,0.126,0.5880000000000001,0.5880000000000001,0.5880000000000001,0.5880000000000001,0.694,0.746,0.694,0,0.75,0.694,0.5409999999999999,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.41700000000000004,0.41700000000000004,0.22299999999999998,0.22299999999999998,0.22299999999999998,0,0.126,0.126,0.126
UF2727,0.514,0.514,1,0,0.41700000000000004,0.514,0.514,0.514,0.31999999999999995,0.31999999999999995,0.31999999999999995,0.31999999999999995,0.31999999999999995,0.31999999999999995,0.514,0.31999999999999995,0.41700000000000004,0.31999999999999995,0.41700000000000004,0.31999999999999995,0.514,0.31999999999999995,0.514,0.514,0.126,0.126,0.126,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.514,0.22299999999999998,0.31999999999999995,0.31999999999999995,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.31999999999999995,0.31999999999999995,0.31999999999999995,0.31999999999999995,0.514,0.41700000000000004,0.514,0,0.31999999999999995,0.514,0.31999999999999995,0.31999999999999995,0.31999999999999995,0.31999999999999995,0.802,0.802,0.31999999999999995,0.31999999999999995,0.31999999999999995,0,0.22299999999999998,0.22299999999999998,0.22299999999999998
UF5714,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UF0892,0.749,0.749,0.41700000000000004,0,1,0.879,0.879,0.879,0.46399999999999997,0.46399999999999997,0.46399999999999997,0.46399999999999997,0.46399999999999997,0.126,0.31999999999999995,0.126,0.22299999999999998,0.126,0.22299999999999998,0.126,0.31999999999999995,0.126,0.31999999999999995,0.31999999999999995,0,0,0,0.029000000000000026,0.029000000000000026,0.029000000000000026,0.029000000000000026,0.029000000000000026,0.31999999999999995,0.029000000000000026,0.126,0.126,0.029000000000000026,0.029000000000000026,0.029000000000000026,0.46399999999999997,0.46399999999999997,0.46399999999999997,0.46399999999999997,0.617,0.5409999999999999,0.617,0,0.46399999999999997,0.617,0.46399999999999997,0.126,0.126,0.126,0.31999999999999995,0.31999999999999995,0.126,0.126,0.126,0,0.029000000000000026,0.029000000000000026,0.029000000000000026
UF0870,0.746,0.746,0.514,0,0.879,1,0.88,0.88,0.878,0.5880000000000001,0.5880000000000001,0.5409999999999999,0.5409999999999999,0.22299999999999998,0.41700000000000004,0.22299999999999998,0.31999999999999995,0.22299999999999998,0.31999999999999995,0.22299999999999998,0.41700000000000004,0.22299999999999998,0.41700000000000004,0.41700000000000004,0.029000000000000026,0.029000000000000026,0.029000000000000026,0.126,0.126,0.126,0.126,0.126,0.41700000000000004,0.126,0.22299999999999998,0.22299999999999998,0.126,0.126,0.126,0.5880000000000001,0.5880000000000001,0.5880000000000001,0.5880000000000001,0.694,0.879,0.694,0,0.878,0.694,0.5409999999999999,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.41700000000000004,0.41700000000000004,0.22299999999999998,0.22299999999999998,0.22299999999999998,0,0.126,0.126,0.126
UF0871,0.746,0.746,0.514,0,0.879,0.88,1,0.88,0.878,0.5880000000000001,0.5880000000000001,0.5409999999999999,0.5409999999999999,0.22299999999999998,0.41700000000000004,0.22299999999999998,0.31999999999999995,0.22299999999999998,0.31999999999999995,0.22299999999999998,0.41700000000000004,0.22299999999999998,0.41700000000000004,0.41700000000000004,0.029000000000000026,0.029000000000000026,0.029000000000000026,0.126,0.126,0.126,0.126,0.126,0.41700000000000004,0.126,0.22299999999999998,0.22299999999999998,0.126,0.126,0.126,0.5880000000000001,0.5880000000000001,0.5880000000000001,0.5880000000000001,0.694,0.879,0.694,0,0.878,0.694,0.5409999999999999,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.41700000000000004,0.41700000000000004,0.22299999999999998,0.22299999999999998,0.22299999999999998,0,0.126,0.126,0.126
UF0872,0.746,0.746,0.514,0,0.879,0.88,0.88,1,0.878,0.5880000000000001,0.5880000000000001,0.5409999999999999,0.5409999999999999,0.22299999999999998,0.41700000000000004,0.22299999999999998,0.31999999999999995,0.22299999999999998,0.31999999999999995,0.22299999999999998,0.41700000000000004,0.22299999999999998,0.41700000000000004,0.41700000000000004,0.029000000000000026,0.029000000000000026,0.029000000000000026,0.126,0.126,0.126,0.126,0.126,0.41700000000000004,0.126,0.22299999999999998,0.22299999999999998,0.126,0.126,0.126,0.5880000000000001,0.5880000000000001,0.5880000000000001,0.5880000000000001,0.694,0.879,0.694,0,0.878,0.694,0.5409999999999999,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.41700000000000004,0.41700000000000004,0.22299999999999998,0.22299999999999998,0.22299999999999998,0,0.126,0.126,0.126
UF0915,0.75,0.75,0.31999999999999995,0,0.46399999999999997,0.878,0.878,0.878,1,0.5880000000000001,0.5880000000000001,0.388,0.388,0.029000000000000026,0.22299999999999998,0.029000000000000026,0.126,0.029000000000000026,0.126,0.029000000000000026,0.22299999999999998,0.029000000000000026,0.22299999999999998,0.22299999999999998,0,0,0,0,0,0,0,0,0.22299999999999998,0,0.029000000000000026,0.029000000000000026,0,0,0,0.5880000000000001,0.5880000000000001,0.5880000000000001,0.5880000000000001,0.5409999999999999,0.46399999999999997,0.5409999999999999,0,0.878,0.5409999999999999,0.388,0.029000000000000026,0.029000000000000026,0.029000000000000026,0.22299999999999998,0.22299999999999998,0.029000000000000026,0.029000000000000026,0.029000000000000026,0,0,0,0
UF0997,0.5880000000000001,0.5880000000000001,0.31999999999999995,0,0.46399999999999997,0.5880000000000001,0.5880000000000001,0.5880000000000001,0.5880000000000001,1,0.764,0.388,0.388,0.029000000000000026,0.22299999999999998,0.029000000000000026,0.126,0.029000000000000026,0.126,0.029000000000000026,0.22299999999999998,0.029000000000000026,0.22299999999999998,0.22299999999999998,0,0,0,0,0,0,0,0,0.22299999999999998,0,0.029000000000000026,0.029000000000000026,0,0,0,0.5880000000000001,0.5880000000000001,0.5880000000000001,0.5880000000000001,0.5409999999999999,0.46399999999999997,0.5409999999999999,0,0.5880000000000001,0.5409999999999999,0.388,0.029000000000000026,0.029000000000000026,0.029000000000000026,0.22299999999999998,0.22299999999999998,0.029000000000000026,0.029000000000000026,0.029000000000000026,0,0,0,0
