FM0209,FM0020,FM0208,FM0019,FM0025,FM0026,FM0024,FM0210,FM0207,FM0027,FM0022,FM0021,FM0028,FM0037,FM0036,FM0033,FM0205,FM0032,FM0023,FM0030,FM0215,FM0216,FM0034,FM0213,FM0212,FM0211,FM0214,FM0029,FM0031
FM0209,1,0.26,0.10999999999999999,0.10999999999999999,0.10999999999999999,0.10999999999999999,0.10999999999999999,0.63,0.10999999999999999,0.10999999999999999,0.10999999999999999,0.26,0.26,0.10999999999999999,0.10999999999999999,0.26,0.26,0.26,0.26,0.26,0.63,0.41000000000000003,0.26,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.26,0.26
FM0020,0.26,1,0.35,0.35,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.10999999999999999,0.35,0.040000000000000036,0.35,0.48,0.10999999999999999,0.35,0.35,0.10999999999999999,0.48,0.10999999999999999,0.48,0.10999999999999999,0.10999999999999999,0.26,0.10999999999999999,0.18999999999999995,0.18999999999999995,0.18999999999999995,0.18999999999999995,0.10999999999999999,0.10999999999999999
FM0208,0.10999999999999999,0.35,1,0.21999999999999997,0.18999999999999995,0.18999999999999995,0.18999999999999995,0.040000000000000036,0.51,0.18999999999999995,0.21999999999999997,0.35,0.040000000000000036,0.51,0.51,0.040000000000000036,0.35,0.040000000000000036,0.35,0.040000000000000036,0.040000000000000036,0.10999999999999999,0.040000000000000036,0.33000000000000007,0.33000000000000007,0.33000000000000007,0.33000000000000007,0.040000000000000036,0.040000000000000036
FM0019,0.10999999999999999,0.35,0.21999999999999997,1,0.18999999999999995,0.18999999999999995,0.18999999999999995,0.040000000000000036,0.21999999999999997,0.18999999999999995,0.53,0.35,0.040000000000000036,0.21999999999999997,0.21999999999999997,0.040000000000000036,0.35,0.040000000000000036,0.35,0.040000000000000036,0.040000000000000036,0.10999999999999999,0.040000000000000036,0.33000000000000007,0.33000000000000007,0.33000000000000007,0.33000000000000007,0.040000000000000036,0.040000000000000036
FM0025,0.10999999999999999,0.040000000000000036,0.18999999999999995,0.18999999999999995,1,0.27,0.27,0.040000000000000036,0.18999999999999995,0.53,0.18999999999999995,0.040000000000000036,0.040000000000000036,0.18999999999999995,0.18999999999999995,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.10999999999999999,0.040000000000000036,0.65,0.14,0.14,0.41000000000000003,0.040000000000000036,0.040000000000000036
FM0026,0.10999999999999999,0.040000000000000036,0.18999999999999995,0.18999999999999995,0.27,1,0.53,0.040000000000000036,0.18999999999999995,0.27,0.18999999999999995,0.040000000000000036,0.040000000000000036,0.18999999999999995,0.18999999999999995,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.10999999999999999,0.040000000000000036,0.14,0.65,0.41000000000000003,0.14,0.040000000000000036,0.040000000000000036
FM0024,0.10999999999999999,0.040000000000000036,0.18999999999999995,0.18999999999999995,0.27,0.53,1,0.040000000000000036,0.18999999999999995,0.27,0.18999999999999995,0.040000000000000036,0.040000000000000036,0.18999999999999995,0.18999999999999995,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.10999999999999999,0.040000000000000036,0.14,0.41000000000000003,0.65,0.14,0.040000000000000036,0.040000000000000036
FM0210,0.63,0.10999999999999999,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.040000000000000036,1,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.10999999999999999,0.10999999999999999,0.040000000000000036,0.040000000000000036,0.10999999999999999,0.10999999999999999,0.10999999999999999,0.10999999999999999,0.10999999999999999,0.5,0.26,0.10999999999999999,0.18999999999999995,0.18999999999999995,0.18999999999999995,0.18999999999999995,0.10999999999999999,0.10999999999999999
FM0207,0.10999999999999999,0.35,0.51,0.21999999999999997,0.18999999999999995,0.18999999999999995,0.18999999999999995,0.040000000000000036,1,0.18999999999999995,0.21999999999999997,0.35,0.040000000000000036,0.51,0.51,0.040000000000000036,0.35,0.040000000000000036,0.35,0.040000000000000036,0.040000000000000036,0.10999999999999999,0.040000000000000036,0.33000000000000007,0.33000000000000007,0.33000000000000007,0.33000000000000007,0.040000000000000036,0.040000000000000036
FM0027,0.10999999999999999,0.040000000000000036,0.18999999999999995,0.18999999999999995,0.53,0.27,0.27,0.040000000000000036,0.18999999999999995,1,0.18999999999999995,0.040000000000000036,0.040000000000000036,0.18999999999999995,0.18999999999999995,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.10999999999999999,0.040000000000000036,0.41000000000000003,0.14,0.14,0.65,0.040000000000000036,0.040000000000000036
