Sim_SUOG,Sim_IC,Sim_Resnik,Sim_Wu_Palmer,Sim_Lin
1,0.95,1.16,1,0.99
1,0.95,1.16,1,0.98
1,0.95,1.16,1,0.98
1,0.95,1.16,1,0.98
1,0.95,1.16,1,0.98
1,0.95,1.16,1,0.98
1,0.95,1.16,1,0.98
1,0.95,1.16,1,0.98
1,0.95,1.16,1,0.98
1,0.95,1.16,1,0.98
1,0.95,1.16,1,0.98
1,0.95,1.16,1,0.98
1,0.95,1.16,1,0.98
1,0.95,1.16,1,0.98
1,0.95,1.16,1,0.98
1,0.95,1.16,1,0.98
1,0.95,1.16,1,0.98
1,0.95,1.16,1,0.98
1,0.95,1.16,1,0.98
1,0.95,1.16,1,0.98
1,0.95,1.16,1,0.98
1,0.95,1.16,1,0.98
1,0.95,1.16,1,0.98
1,0.95,1.16,1,0.98
1,0.95,1.16,1,0.98
1,0.95,1.16,1,0.98
1,0.95,1.16,1,0.98
1,0.94,1.16,1,0.97
1,0.94,1.16,1,0.97
1,0.94,1.16,1,0.97
1,0.94,1.16,1,0.97
1,0.93,1.16,0.99,0.97
1,0.93,1.16,0.99,0.97
1,0.93,1.16,0.98,0.97
1,0.93,1.16,0.98,0.97
1,0.93,1.16,0.98,0.97
1,0.93,1.16,0.98,0.97
1,0.93,1.16,0.97,0.97
1,0.93,1.16,0.97,0.97
1,0.93,1.16,0.97,0.97
1,0.93,1.16,0.97,0.97
1,0.93,1.16,0.97,0.97
1,0.93,1.16,0.97,0.97
1,0.93,1.16,0.97,0.97
1,0.93,1.16,0.97,0.97
0.98,0.93,1.16,0.97,0.97
0.98,0.93,1.16,0.97,0.97
0.96,0.93,1.16,0.97,0.97
0.95,0.93,1.16,0.97,0.97
0.95,0.93,1.16,0.97,0.97
0.94,0.93,1.16,0.97,0.97
0.94,0.93,1.16,0.97,0.97
0.94,0.93,1.16,0.97,0.97
0.94,0.93,1.16,0.96,0.97
0.94,0.93,1.16,0.96,0.97
0.94,0.93,1.16,0.96,0.97
0.94,0.93,1.16,0.96,0.97
0.94,0.93,1.16,0.96,0.97
0.93,0.93,1.16,0.96,0.97
0.93,0.93,1.16,0.96,0.97
0.92,0.93,1.16,0.96,0.97
0.91,0.93,1.16,0.96,0.97
0.91,0.93,1.16,0.96,0.97
0.91,0.93,1.16,0.96,0.97
0.91,0.93,1.16,0.96,0.97
0.9,0.93,1.16,0.96,0.97
0.9,0.93,1.16,0.96,0.97
0.9,0.93,1.16,0.96,0.97
0.9,0.93,1.16,0.96,0.97
0.9,0.93,1.16,0.96,0.97
0.9,0.93,1.16,0.96,0.97
0.9,0.93,1.16,0.96,0.97
0.9,0.93,1.16,0.96,0.97
0.89,0.93,1.16,0.96,0.97
0.88,0.93,1.16,0.96,0.97
0.88,0.93,1.16,0.96,0.97
0.88,0.93,1.16,0.96,0.96
0.88,0.93,1.16,0.96,0.96
0.88,0.93,1.16,0.96,0.96
0.88,0.93,1.16,0.96,0.96
0.88,0.93,1.16,0.96,0.96
0.88,0.93,1.16,0.96,0.96
0.88,0.93,1.16,0.96,0.96
0.88,0.93,1.16,0.96,0.96
0.88,0.92,1.16,0.96,0.96
0.88,0.92,1.16,0.96,0.96
0.88,0.92,1.16,0.96,0.96
0.88,0.92,1.16,0.96,0.96
0.88,0.92,1.16,0.96,0.96
0.88,0.92,1.16,0.96,0.96
0.88,0.92,1.16,0.96,0.96
0.88,0.92,1.16,0.96,0.96
0.88,0.92,1.16,0.96,0.96
0.88,0.91,1.16,0.95,0.96
0.88,0.91,1.16,0.95,0.96
0.88,0.91,1.16,0.95,0.96
0.88,0.91,1.16,0.95,0.96
0.88,0.91,1.16,0.95,0.96
0.88,0.91,1.16,0.95,0.96
0.88,0.89,1.16,0.95,0.96
0.88,0.89,1.16,0.95,0.96
0.88,0.89,1.16,0.95,0.96
0.88,0.89,1.16,0.95,0.96
0.88,0.89,1.16,0.95,0.96
0.88,0.89,1.16,0.95,0.96
0.88,0.89,1.16,0.95,0.96
0.88,0.89,1.16,0.95,0.96
0.88,0.89,1.16,0.95,0.96
0.88,0.89,1.16,0.95,0.96
0.88,0.89,1.16,0.95,0.96
0.88,0.89,1.16,0.95,0.96
0.88,0.89,1.16,0.95,0.96
0.87,0.89,1.16,0.95,0.96
0.87,0.89,1.16,0.95,0.96
0.87,0.89,1.16,0.95,0.96
0.87,0.89,1.16,0.95,0.96
0.87,0.89,1.16,0.95,0.96
0.87,0.89,1.16,0.94,0.95
0.86,0.89,1.16,0.94,0.95
0.86,0.89,1.16,0.94,0.95
0.86,0.89,1.16,0.94,0.95
0.86,0.89,1.16,0.94,0.95
0.86,0.89,1.16,0.94,0.95
0.86,0.88,1.16,0.94,0.95
0.86,0.88,1.16,0.94,0.95
